5-fold-cv-standalone-test
/data3/shcho/bci_ai/datasets/acrobat/features/resnet50_finetune2/train/acrobat.csv /data3/shcho/bci_ai/datasets/acrobat/features/resnet50_finetune2/train/1/213_HER2_train.csv
Intermediate training files already exist : temp_train_resnet50_finetune2. Skipping creation.
Creating intermediate testing files : temp_test_resnet50_finetune2
Starting CV fold 0.

 Training bag [381/381] bag loss: 4.7171
 Testing bag [1/96] bag loss: 1.3330
 Testing bag [2/96] bag loss: 1.0217
 Testing bag [3/96] bag loss: 1.2226
 Testing bag [4/96] bag loss: 1.3297
 Testing bag [5/96] bag loss: 0.7598
 Testing bag [6/96] bag loss: 1.2718
 Testing bag [7/96] bag loss: 1.5259
 Testing bag [8/96] bag loss: 1.8192
 Testing bag [9/96] bag loss: 1.2557
 Testing bag [10/96] bag loss: 1.3838
 Testing bag [11/96] bag loss: 1.2687
 Testing bag [12/96] bag loss: 3.5805
 Testing bag [13/96] bag loss: 1.3317
 Testing bag [14/96] bag loss: 1.3560
 Testing bag [15/96] bag loss: 0.8979
 Testing bag [16/96] bag loss: 1.4675
 Testing bag [17/96] bag loss: 1.7634
 Testing bag [18/96] bag loss: 1.2215
 Testing bag [19/96] bag loss: 1.3749
 Testing bag [20/96] bag loss: 2.4712
 Testing bag [21/96] bag loss: 1.4281
 Testing bag [22/96] bag loss: 1.2657
 Testing bag [23/96] bag loss: 1.4373
 Testing bag [24/96] bag loss: 1.2025
 Testing bag [25/96] bag loss: 0.9634
 Testing bag [26/96] bag loss: 1.1872
 Testing bag [27/96] bag loss: 1.1919
 Testing bag [28/96] bag loss: 1.3910
 Testing bag [29/96] bag loss: 1.4073
 Testing bag [30/96] bag loss: 1.2779
 Testing bag [31/96] bag loss: 1.2301
 Testing bag [32/96] bag loss: 1.3041
 Testing bag [33/96] bag loss: 1.2593
 Testing bag [34/96] bag loss: 1.1950
 Testing bag [35/96] bag loss: 0.9227
 Testing bag [36/96] bag loss: 1.8892
 Testing bag [37/96] bag loss: 1.1533
 Testing bag [38/96] bag loss: 1.1902
 Testing bag [39/96] bag loss: 1.3689
 Testing bag [40/96] bag loss: 1.5342
 Testing bag [41/96] bag loss: 1.2106
 Testing bag [42/96] bag loss: 1.3338
 Testing bag [43/96] bag loss: 1.4501
 Testing bag [44/96] bag loss: 0.9573
 Testing bag [45/96] bag loss: 1.0814
 Testing bag [46/96] bag loss: 1.3020
 Testing bag [47/96] bag loss: 4.0248
 Testing bag [48/96] bag loss: 1.2211
 Testing bag [49/96] bag loss: 1.4945
 Testing bag [50/96] bag loss: 1.1639
 Testing bag [51/96] bag loss: 1.4859
 Testing bag [52/96] bag loss: 1.3289
 Testing bag [53/96] bag loss: 1.2803
 Testing bag [54/96] bag loss: 2.3673
 Testing bag [55/96] bag loss: 0.8442
 Testing bag [56/96] bag loss: 1.4420
 Testing bag [57/96] bag loss: 3.0449
 Testing bag [58/96] bag loss: 1.0807
 Testing bag [59/96] bag loss: 1.1684
 Testing bag [60/96] bag loss: 1.0931
 Testing bag [61/96] bag loss: 1.3045
 Testing bag [62/96] bag loss: 1.7506
 Testing bag [63/96] bag loss: 1.3674
 Testing bag [64/96] bag loss: 1.2144
 Testing bag [65/96] bag loss: 1.5849
 Testing bag [66/96] bag loss: 1.4010
 Testing bag [67/96] bag loss: 1.3457
 Testing bag [68/96] bag loss: 2.6218
 Testing bag [69/96] bag loss: 1.3392
 Testing bag [70/96] bag loss: 1.8685
 Testing bag [71/96] bag loss: 1.2226
 Testing bag [72/96] bag loss: 1.2422
 Testing bag [73/96] bag loss: 3.1690
 Testing bag [74/96] bag loss: 1.0009
 Testing bag [75/96] bag loss: 1.0566
 Testing bag [76/96] bag loss: 1.3677
 Testing bag [77/96] bag loss: 1.1690
 Testing bag [78/96] bag loss: 1.4971
 Testing bag [79/96] bag loss: 1.5438
 Testing bag [80/96] bag loss: 1.0144
 Testing bag [81/96] bag loss: 1.4260
 Testing bag [82/96] bag loss: 1.1501
 Testing bag [83/96] bag loss: 1.2806
 Testing bag [84/96] bag loss: 0.8098
 Testing bag [85/96] bag loss: 1.1828
 Testing bag [86/96] bag loss: 2.4414
 Testing bag [87/96] bag loss: 2.5861
 Testing bag [88/96] bag loss: 1.3369
 Testing bag [89/96] bag loss: 1.0864
 Testing bag [90/96] bag loss: 1.6679
 Testing bag [91/96] bag loss: 1.4252
 Testing bag [92/96] bag loss: 1.4062
 Testing bag [93/96] bag loss: 1.7209
 Testing bag [94/96] bag loss: 0.8199
 Testing bag [95/96] bag loss: 3.2810
 Testing bag [96/96] bag loss: 1.3272
ROC Curve saved at : /data3/shcho/bci_ai/test/resnet50_finetune2/roc_curve_valid_0.png


 Epoch [3/50] train loss: 4.7152 test loss: 1.4673, average Acc: 0.4896, 
	AUC: [class 0] 0.5407	[class 1] 0.5878	[class 2] 0.9648	[class 3] 0.5209

 Training bag [1/381] bag loss: 4.7101
 Training bag [11/381] bag loss: 4.7083
 Training bag [21/381] bag loss: 4.7163
 Training bag [31/381] bag loss: 4.7040
 Training bag [41/381] bag loss: 4.7092
 Training bag [51/381] bag loss: 4.7122
 Training bag [61/381] bag loss: 4.7036
 Training bag [71/381] bag loss: 4.7119
 Training bag [81/381] bag loss: 4.7137
 Training bag [91/381] bag loss: 4.7027
 Training bag [101/381] bag loss: 4.7051
 Training bag [111/381] bag loss: 4.7023
 Training bag [121/381] bag loss: 4.7105
 Training bag [131/381] bag loss: 4.7188
 Training bag [141/381] bag loss: 4.7237
 Training bag [151/381] bag loss: 4.7096
 Training bag [161/381] bag loss: 4.7090
 Training bag [171/381] bag loss: 4.7086
 Training bag [181/381] bag loss: 4.7134
 Training bag [191/381] bag loss: 4.7032
 Training bag [201/381] bag loss: 4.7075
 Training bag [211/381] bag loss: 4.7109
